image_path,original_class,focusdrive_class,class_name,image_name
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_64545.jpg,c2,1,Distracted,img_64545.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_78643.jpg,c2,1,Distracted,img_78643.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_72386.jpg,c4,1,Distracted,img_72386.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_68703.jpg,c6,1,Distracted,img_68703.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_71775.jpg,c7,1,Distracted,img_71775.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_49228.jpg,c0,0,Attentive,img_49228.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_63479.jpg,c3,1,Distracted,img_63479.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_34488.jpg,c4,1,Distracted,img_34488.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_44442.jpg,c0,0,Attentive,img_44442.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_101956.jpg,c2,1,Distracted,img_101956.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_12848.jpg,c3,1,Distracted,img_12848.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_93475.jpg,c9,1,Distracted,img_93475.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_64667.jpg,c8,1,Distracted,img_64667.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_92315.jpg,c2,1,Distracted,img_92315.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_27419.jpg,c1,1,Distracted,img_27419.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_66281.jpg,c4,1,Distracted,img_66281.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_23170.jpg,c8,1,Distracted,img_23170.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_33391.jpg,c3,1,Distracted,img_33391.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_62389.jpg,c5,1,Distracted,img_62389.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_36155.jpg,c0,0,Attentive,img_36155.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_8663.jpg,c1,1,Distracted,img_8663.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_14736.jpg,c4,1,Distracted,img_14736.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_46089.jpg,c3,1,Distracted,img_46089.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_1071.jpg,c6,1,Distracted,img_1071.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_90417.jpg,c4,1,Distracted,img_90417.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_46060.jpg,c0,0,Attentive,img_46060.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_84602.jpg,c8,1,Distracted,img_84602.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_775.jpg,c4,1,Distracted,img_775.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_94274.jpg,c6,1,Distracted,img_94274.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_73693.jpg,c8,1,Distracted,img_73693.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_71950.jpg,c6,1,Distracted,img_71950.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_69738.jpg,c7,1,Distracted,img_69738.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_2372.jpg,c5,1,Distracted,img_2372.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_56666.jpg,c0,0,Attentive,img_56666.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_84163.jpg,c8,1,Distracted,img_84163.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_47288.jpg,c2,1,Distracted,img_47288.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_1267.jpg,c0,0,Attentive,img_1267.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_68616.jpg,c8,1,Distracted,img_68616.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_8122.jpg,c0,0,Attentive,img_8122.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_96871.jpg,c4,1,Distracted,img_96871.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_9120.jpg,c6,1,Distracted,img_9120.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_8032.jpg,c7,1,Distracted,img_8032.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_73479.jpg,c0,0,Attentive,img_73479.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_97966.jpg,c3,1,Distracted,img_97966.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_53889.jpg,c3,1,Distracted,img_53889.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_78624.jpg,c0,0,Attentive,img_78624.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_42487.jpg,c1,1,Distracted,img_42487.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_90390.jpg,c0,0,Attentive,img_90390.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_7174.jpg,c4,1,Distracted,img_7174.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_33850.jpg,c6,1,Distracted,img_33850.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_72492.jpg,c0,0,Attentive,img_72492.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_15520.jpg,c2,1,Distracted,img_15520.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_46981.jpg,c8,1,Distracted,img_46981.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_66329.jpg,c1,1,Distracted,img_66329.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_636.jpg,c1,1,Distracted,img_636.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_87508.jpg,c7,1,Distracted,img_87508.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_5034.jpg,c3,1,Distracted,img_5034.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_84437.jpg,c7,1,Distracted,img_84437.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_20916.jpg,c7,1,Distracted,img_20916.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c9/img_94971.jpg,c9,1,Distracted,img_94971.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_69183.jpg,c0,0,Attentive,img_69183.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_30638.jpg,c8,1,Distracted,img_30638.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_52606.jpg,c8,1,Distracted,img_52606.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_84034.jpg,c6,1,Distracted,img_84034.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c4/img_59172.jpg,c4,1,Distracted,img_59172.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_21535.jpg,c7,1,Distracted,img_21535.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_14339.jpg,c8,1,Distracted,img_14339.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_28013.jpg,c5,1,Distracted,img_28013.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_90443.jpg,c0,0,Attentive,img_90443.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_533.jpg,c3,1,Distracted,img_533.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_44073.jpg,c0,0,Attentive,img_44073.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c0/img_25865.jpg,c0,0,Attentive,img_25865.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c7/img_46390.jpg,c7,1,Distracted,img_46390.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_97911.jpg,c3,1,Distracted,img_97911.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_16339.jpg,c6,1,Distracted,img_16339.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c3/img_27653.jpg,c3,1,Distracted,img_27653.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_62300.jpg,c1,1,Distracted,img_62300.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c2/img_101679.jpg,c2,1,Distracted,img_101679.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c6/img_78549.jpg,c6,1,Distracted,img_78549.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c5/img_2150.jpg,c5,1,Distracted,img_2150.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_100375.jpg,c1,1,Distracted,img_100375.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c1/img_83096.jpg,c1,1,Distracted,img_83096.jpg
/Users/prahaas/Downloads/Focus Drive Lstm model /data/raw/imgs/train/c8/img_86530.jpg,c8,1,Distracted,img_86530.jpg
